"giving" "svo" "volunteer" "emo" "unpaid" "contrib" "polpart" "immediate" "delayed" "bwd" "catflu" "numser" "count" "income" "ftp"
0 0 0 0 0 0 0 4 4 6 27 2 37 2 23
3 1 1 3 0 2 1 8 4 5 21 1 35 3 31
1 1 3 2 0 3 1 5 3 5 21 2 21 7 30
2 1 0 1 2 1 1 8 5 4 22 3 39 5 42
1 1 3 1 3 2 3 7 3 5 25 3 45 6 36
3 1 3 2 1 3 3 7 7 5 28 3 38 4 29
0 0 0 2 2 0 2 9 7 6 12 5 45 4 32
1 0 0 3 1 1 0 7 1 5 19 3 41 4 18
3 1 2 3 2 0 1 6 3 4 19 2 38 7 46
1 1 2 2 1 3 0 7 5 5 21 1 29 5 54
1 0 3 3 3 3 3 9 8 5 26 3 40 2 53
1 0 2 1 1 1 1 1 0 5 14 3 36 3 32
0 1 3 3 3 1 1 12 9 7 24 3 28 4 49
0 0 0 3 3 1 1 4 2 4 14 1 41 5 24
1 1 0 2 0 0 1 4 4 6 22 4 41 7 24
0 1 0 3 3 2 0 6 4 5 27 2 34 3 34
1 1 2 0 0 2 0 6 6 5 25 4 38 6 48
0 0 0 1 3 3 1 5 3 5 19 4 41 10 52
3 1 0 0 0 1 0 12 6 7 30 5 63 3 48
3 0 2 1 1 1 1 8 5 7 26 5 45 4 56
2 1 0 1 3 3 0 7 6 4 28 3 34 9 21
0 1 2 1 1 2 1 5 5 7 26 4 57 4 50
1 1 0 0 0 0 1 3 1 7 20 3 30 5 47
3 0 2 0 0 3 0 5 4 4 20 4 47 5 37
1 0 0 3 3 3 2 9 8 6 23 4 52 7 32
1 1 0 0 0 0 0 5 1 6 15 3 47 2 20
3 1 3 0 0 3 1 6 1 6 14 5 41 7 48
3 1 2 1 1 3 3 7 5 5 24 3 30 5 25
2 0 0 2 3 1 1 7 5 5 26 5 31 6 57
3 1 1 1 0 2 3 5 5 7 27 4 39 5 38
3 1 2 1 1 2 0 7 4 4 25 3 43 6 56
3 1 3 0 2 1 3 8 2 5 36 4 51 3 42
1 1 1 0 1 0 0 6 2 3 14 2 48 6 51
3 1 0 2 3 2 1 5 4 5 22 4 46 9 53
3 0 3 0 0 0 0 4 2 7 33 4 50 7 37
3 1 0 2 3 1 2 8 7 8 24 2 47 10 32
1 1 3 3 3 0 0 4 4 5 21 5 34 4 39
0 1 2 3 3 0 1 11 11 8 22 2 28 7 51
3 1 0 1 2 1 1 5 0 6 26 4 44 7 41
0 1 1 2 0 2 0 10 6 7 24 5 44 NA 14
3 1 0 1 2 0 1 5 4 0 24 5 31 4 37
1 1 0 0 0 0 0 6 4 6 22 5 39 7 17
1 0 2 3 2 2 0 8 3 5 18 4 51 6 42
3 0 1 3 0 1 0 9 4 6 21 4 60 5 48
3 1 1 3 1 1 1 8 6 5 25 5 36 8 35
3 1 0 3 3 3 2 8 2 4 19 5 40 10 59
0 0 0 0 0 0 0 6 4 5 24 3 28 2 38
1 1 0 2 3 2 1 4 5 6 14 3 41 4 38
3 1 3 3 3 0 0 6 4 5 20 2 36 4 51
3 1 2 3 3 3 2 9 7 5 26 4 49 6 48
3 1 2 3 2 0 2 4 3 5 23 4 34 2 37
3 0 0 1 2 3 2 7 2 3 21 1 30 9 34
2 0 2 0 1 3 2 8 5 4 23 4 44 9 26
1 1 0 1 3 0 2 4 3 7 21 4 35 2 43
3 1 0 3 3 3 2 3 3 5 14 4 36 5 49
3 1 0 0 1 3 0 10 7 7 23 5 31 8 42
3 0 0 1 0 3 1 7 3 6 22 5 38 8 24
2 0 0 0 1 0 0 6 5 4 23 4 50 5 44
0 0 2 1 3 2 0 5 4 3 9 3 31 3 46
1 1 0 0 0 2 3 7 3 3 22 3 33 6 58
1 1 0 3 3 2 2 9 7 2 21 4 41 8 48
1 0 2 1 2 1 1 5 3 5 21 3 40 3 57
1 0 2 3 0 3 1 8 6 5 21 4 41 7 40
1 0 3 3 2 3 2 8 7 7 22 5 20 6 25
0 1 0 2 2 3 1 6 4 5 22 3 31 3 40
0 1 1 0 0 0 1 9 6 6 5 2 48 4 32
3 1 2 2 0 0 2 8 6 5 28 5 46 9 47
2 0 2 1 2 2 0 13 10 6 17 2 38 3 45
0 0 0 1 1 1 0 8 3 6 28 5 57 9 33
