"age" "alcohol" "BIS" "NEOc" "NEOo"
18 28 2.153846154 2.833333333 2.916666667
20 80 3 2.75 3.916666667
17 28 1.846153846 3.416666667 4.166666667
17 10 2.076923077 3.583333333 3.5
17 12 2.615384615 3.833333333 3.25
17 21 2.192307692 3.666666667 4.25
17 3 2.192307692 3.416666667 2.583333333
17 21 2.346153846 3.083333333 3.333333333
17 0 2.153846154 3.416666667 3.083333333
17 0 1.961538462 4.5 3.25
17 1 2.884615385 2.916666667 3.583333333
17 12 2.115384615 3 3.333333333
18 4 2.461538462 3.5 3.333333333
18 0 2.269230769 3.666666667 3.583333333
18 20 2.653846154 3.5 3.75
18 18 2 3.5 4
18 2 2.115384615 4.166666667 3.583333333
18 0 2.423076923 3.75 3.916666667
18 32 2.807692308 3.416666667 3
18 64 2.615384615 3.5 3.5
18 0 2.576923077 3.833333333 2.916666667
18 3 2.538461539 3.083333333 3.25
18 32 2.307692308 2.583333333 3.083333333
18 13 3.076923077 3.25 2.416666667
18 10 2.115384615 3.333333333 3.083333333
18 24 1.769230769 4.166666667 3.25
18 0 2 4 3
18 0 1.769230769 4.5 3.166666667
18 36 2.461538462 3.5 2.916666667
18 22 2.384615385 3.75 4
18 20 2.807692308 2.75 3.416666667
18 56 2.192307692 4.166666667 3.583333333
18 2 2.269230769 3.333333333 2.666666667
18 0 2.153846154 3.333333333 3.416666667
18 35 2.461538462 3.75 2.833333333
18 0 2.769230769 2.916666667 3.166666667
18 3 2.192307692 3.75 3.916666667
18 24 2 4.083333333 2.833333333
18 1 1.769230769 3.333333333 3.666666667
18 16 2.192307692 3.833333333 3.666666667
18 5 2.5 3.583333333 3.416666667
18 55 2.307692308 3.833333333 2.083333333
18 15 2.384615385 3 3.25
18 0 2.115384615 4.166666667 3.083333333
18 14 2.269230769 3.666666667 2.416666667
18 15 2.115384615 3.666666667 3.416666667
18 28 2.307692308 3.5 2.916666667
18 27 2.5 3.166666667 3.666666667
18 50 2.461538462 3.333333333 1.833333333
18 28 2.576923077 3.416666667 2.833333333
18 7 2.692307692 3.416666667 4.25
18 27 2.461538462 3.916666667 4.666666667
18 32 2.923076923 3.166666667 3.416666667
18 28 2.461538462 2.916666667 3.166666667
18 4 2.423076923 3.416666667 3.083333333
18 1 3.153846154 2.25 2.583333333
18 18 2.230769231 3.333333333 4.416666667
18 9 2.115384615 4.166666667 1.916666667
18 0 2 4.166666667 4.25
18 0 2.076923077 3.833333333 3.25
18 20 2.269230769 2.083333333 4
18 15 2.038461539 3.833333333 2.916666667
18 11 1.769230769 3.416666667 4
18 11 2 3.5 3.083333333
18 20 2.384615385 4.333333333 3.75
18 0 2.653846154 2.833333333 3.166666667
18 40 2.576923077 3.083333333 3.666666667
18 3 1.961538462 3.333333333 2.833333333
18 0 3.076923077 2.833333333 3.416666667
18 6 2.461538462 3 2.833333333
18 3 2.615384615 3.166666667 3.666666667
18 5 2.038461539 3.916666667 3.166666667
18 3 2.038461539 4.166666667 3.416666667
18 35 2.153846154 3.916666667 3.333333333
18 12 2.076923077 4.166666667 3.5
18 45 2.769230769 3.083333333 3.083333333
18 36 2.5 2.916666667 3.75
18 2 1.807692308 3.5 3.416666667
18 0 2.230769231 2.833333333 3.333333333
18 19 1.961538462 3.416666667 3
18 32 2.230769231 3.333333333 4.083333333
18 36 2 3.25 4.416666667
18 0 1.538461539 3.583333333 4.333333333
18 24 2.153846154 3.666666667 3.25
18 0 2.576923077 3.833333333 2.416666667
18 22 2.653846154 3.5 3
18 12 2.307692308 3.166666667 3
18 15 2.153846154 3.083333333 3.5
18 7 2.576923077 1.916666667 3.583333333
18 18 2.269230769 3.75 3.583333333
18 21 2.076923077 4.166666667 3.166666667
18 0 2.192307692 4 2.833333333
18 39 2.269230769 3.333333333 3.666666667
18 8 2.538461539 2.75 2.5
18 10 2.192307692 3.5 3.5
18 0 2.192307692 4.333333333 3.333333333
18 54 3.076923077 2.416666667 3.916666667
18 27 2.692307692 4.333333333 4.166666667
18 4 1.423076923 4.75 4.083333333
18 16 2.692307692 3.916666667 3.416666667
18 7 2.576923077 3.416666667 3.666666667
18 33 2.961538462 3.333333333 2.666666667
18 12 1.692307692 4.25 4.333333333
18 18 2.153846154 3.416666667 2.75
18 21 2.346153846 3.75 3.5
