"year" "title" "gross" "budget" "leng" "score" "profit"
2012 "Django Unchained" 162.805434 100 165 88 62.805434
2012 "Parental Guidance" 77.264926 25 105 18 52.264926
2012 "The Impossible" 19.019882 40 114 81 -20.980118
2012 "Jack Reacher" 80.070736 60 130 61 20.070736
2012 "This is 40" 67.544505 35 134 51 32.544505
2012 "The Guilt Trip" 37.134215 40 95 38 -2.865785
2012 "The Hobbit: An Unexpected Journey" 303.003568 250 169 64 53.003568
2012 "Playing for Keeps" 13.102272 35 105 4 -21.897728
2012 "Killing Them Softly" 15.026056 15 97 75 0.0260560000000005
2012 "Red Dawn" 44.806783 65 93 12 -20.193217
2012 "Silver Linings Playbook" 132.092958 21 122 92 111.092958
2012 "Life of Pi" 124.987023 120 127 87 4.98702299999999
2012 "Rise of the Guardians" 103.412758 145 97 74 -41.587242
2012 "Twilight Saga: Breaking Dawn Part 2" 281.287133 136.2 115 49 145.087133
2012 "Skyfall" 304.360277 200 143 92 104.360277
2012 "The Man with the Iron Fists" 15.63409 15 196 49 0.63409
2012 "Wreck-It-Ralph" 189.422889 165 108 86 24.422889
2012 "Flight" 93.772375 31 139 78 62.772375
2012 "Silent Hill: Revelations 3D" 17.529157 20 94 5 -2.470843
2012 "Fun Size" 9.409538 14 90 25 -4.590462
2012 "Chasing Mavericks" 6.002756 20 111 31 -13.997244
2012 "Cloud Atlas" 27.108272 102 164 66 -74.891728
2012 "Alex Cross" 25.888412 35 101 12 -9.111588
2012 "Paranormal Activity 4" 53.900335 5 95 24 48.900335
2012 "Here Comes the Boom" 45.290318 42 105 38 3.290318
2012 "Argo" 136.025503 44.5 120 96 91.525503
2012 "Frankenweenie" 35.291068 39 87 87 -3.708932
2012 "Taken 2" 139.854287 45 91 21 94.854287
2012 "Won't Back Down" 5.310554 19 121 33 -13.689446
2012 "Looper" 66.486205 30 118 93 36.486205
2012 "Hotel Transylvania" 148.313048 85 91 45 63.313048
2012 "Trouble With the Curve" 35.763137 60 111 50 -24.236863
2012 "Dredd" 13.414714 45 95 78 -31.585286
2012 "House at the End of the Street" 31.611916 6.9 101 10 24.711916
2012 "Resident Evil: Retribution" 42.345531 65 95 31 -22.654469
2012 "The Words" 11.494838 6 96 22 5.494838
2012 "The Cold Light of Day" 3.763583 20 93 5 -16.236417
2012 "The Possession" 49.130154 14 91 40 35.130154
2012 "Lawless" 37.400127 26 115 67 11.400127
2012 "Premium Rush" 20.275446 35 91 76 -14.724554
2012 "Hit and Run" 13.7493 2 100 49 11.7493
2012 "Paranorman" 56.003051 60 93 87 -3.996949
2012 "Sparkle" 24.397469 10 120 57 14.397469
2012 "The Expendables 2" 85.028192 100 102 65 -14.971808
2012 "The Odd Life of Timothy Green" 51.854875 40 100 33 11.854875
2012 "The Bourne Legacy" 113.20387 125 135 55 -11.79613
2012 "Hope Springs" 63.536011 30 121 74 33.536011
2012 "Total Recall" 58.877969 125 121 30 -66.122031
2012 "Diary of a Wimpy Kid: Dog Days" 49.008662 22 94 51 27.008662
2012 "Step Up Revolution" 35.074677 33 106 42 2.074677
2012 "The Watch" 35.353 55 102 17 -19.647
2012 "The Dark Knight Rises" 448.139099 250 165 88 198.139099
2012 "Ice Age: Continental Drift" 161.321843 95 88 37 66.321843
2012 "Savages" 47.382068 45 143 51 2.382068
2012 "Katy Perry: Part of Me" 25.326071 12 117 78 13.326071
2012 "The Amazing Spiderman" 262.030663 220 136 73 42.030663
2012 "Tyler Perry's Madea's Witness Protection" 65.653242 20 114 21 45.653242
2012 "Magic Mike" 113.721571 7 111 80 106.721571
2012 "Ted" 218.815487 50 106 68 168.815487
2012 "Seeking a Friend for the End of the World" 7.078738 10 102 56 -2.921262
2012 "Abraham Lincoln: Vampire Hunter" 37.519139 67.5 105 35 -29.980861
2012 "Brave" 237.283207 185 102 78 52.283207
2012 "That's My Boy" 36.931089 67.5 114 20 -30.568911
2012 "Rock of Ages" 38.518613 70 136 41 -31.481387
2012 "Prometheus" 126.477084 125 124 73 1.477084
2012 "Madagascar 3: Europe's Most Wanted" 216.391482 145 95 79 71.391482
2012 "Snow White and the Huntsman" 155.332381 170 133 48 -14.667619
2012 "Chernobyl Diaries" 18.11964 1 93 19 17.11964
2012 "Men in Black III" 179.020854 215 106 70 -35.979146
2012 "What to Expect When You're Expecting" 41.152203 37.5 110 22 3.652203
2012 "The Dictator" 59.650222 65 83 57 -5.349778
2012 "Dark Shadows" 79.727149 150 113 37 -70.272851
2012 "The Avengers" 623.35791 225 143 92 398.35791
2012 "The Five-Year Engagement" 28.835528 30 124 63 -1.164472
2012 "The Raven" 16.008272 26 111 23 -9.991728
2012 "Safe" 17.14208 33 95 57 -15.85792
2012 "The Pirates! Band of Misfits" 31.051126 55 88 86 -23.948874
2012 "The Lucky One" 60.457138 25 101 20 35.457138
2012 "Think Like a Man" 91.547205 12 122 53 79.547205
2012 "The Three Stooges" 44.338224 30 92 51 14.338224
2012 "Lockout" 14.326864 20 96 38 -5.673136
2012 "The Cabin in the Woods" 42.073277 30 105 91 12.073277
2012 "American Reunion" 57.011521 50 113 43 7.011521
2012 "Mirror Mirror" 64.935167 85 108 49 -20.064833
2012 "Wrath of the Titans" 83.670083 150 100 25 -66.329917
2012 "The Hunger Games" 408.010692 80 142 84 328.010692
2012 "21 Jump Street" 138.447667 42 110 85 96.447667
2012 "A Thousand Words" 18.450127 40 91 0 -21.549873
2012 "John Carter" 73.0781 250 139 51 -176.9219
2012 "Silent House" 12.754783 2 88 41 10.754783
2012 "Project X" 54.731865 12 94 28 42.731865
2012 "Dr. Seuss' The Lorax" 214.0305 67.5 95 54 146.5305
2012 "Good Deeds" 35.025791 14 129 31 21.025791
2012 "Act of Valor" 70.012847 12 110 25 58.012847
2012 "Wanderlust" 17.450535 32.5 98 59 -15.049465
2012 "This Means War" 54.760791 65 98 26 -10.239209
2012 "The Secret World of Arrietty" 19.202743 23 96 94 -3.797257
2012 "Ghost Rider: Spirit of Vengeance" 51.774002 57 96 26 -5.225998
2012 "The Vow" 125.01403 30 104 29 95.01403
2012 "Safe House" 126.373434 85 115 53 41.373434
2012 "Journey 2: The Mysterious Island" 103.86029 79 94 42 24.86029
2012 "Big Miracle" 20.1573 40 107 73 -19.8427
2012 "The Woman in Black" 54.33329 15 95 66 39.33329
2012 "Chronicle" 64.575175 12 111 85 52.575175
2012 "The Grey" 51.580236 25 117 79 26.580236
2012 "Man on a Ledge" 18.62 42 102 32 -23.38
2012 "One for the Money" 26.414527 42 92 2 -15.585473
2012 "Haywire" 18.942396 23 93 80 -4.057604
2012 "Underworld: Awakening" 62.321039 70 88 26 -7.678961
2012 "Red Tails" 49.876377 58 121 40 -8.123623
2012 "Contraband" 66.528 25 111 51 41.528
2012 "Joyful Noise" 30.932113 27.5 118 33 3.432113
2012 "The Devil Inside" 53.261944 1 83 6 52.261944
2011 "The Darkest Hour" 21.443494 34.8 89 12 -13.356506
2011 "War Horse" 79.884879 70 146 77 9.884879
2011 "We Bought a Zoo" 75.62455 50 131 66 25.62455
2011 "Mission: Impossible: Ghost Protocol" 209.397903 145 133 93 64.397903
2011 "The Adventures of Tintin" 77.591831 130 107 75 -52.408169
2011 "The Girl with the Dragon Tattoo" 102.515793 90 158 86 12.515793
2011 "Sherlock Holmes: A Game of Shadows" 186.848418 125 129 60 61.848418
2011 "Alvin and the Chipmunks: Chipwrecked" 133.110742 80 87 12 53.110742
2011 "The Sitter" 30.441326 25 81 21 5.441326
2011 "New Year's Eve" 54.544638 26 118 7 28.544638
2011 "Arthur Christmas" 46.462469 85 97 91 -38.537531
2011 "The Muppets" 88.631237 45 120 96 43.631237
2011 "Twilight Saga: Breaking Dawn Part 1" 281.287133 127.5 117 24 153.787133
2011 "Happy Feet Two" 64.006466 135 117 46 -70.993534
2011 "Jack and Jill" 74.158157 79 93 3 -4.841843
2011 "Immortals" 83.504017 75 110 35 8.504017
2011 "J. Edgar" 37.30603 35 137 43 2.30603
2011 "Tower Heist" 78.04657 85 105 68 -6.95343
2011 "A Very Harold & Kumar 3D Christmas" 35.061031 20 108 68 15.061031
2011 "Puss In Boots" 149.260504 130 96 84 19.260504
2011 "The Rum Diary" 13.109815 45 120 50 -31.890185
2011 "In Time" 37.520095 35 109 36 2.520095
2011 "Paranormal Activity 3" 104.028807 5 94 68 99.028807
2011 "Johnny English Reborn" 83.0597 45 101 39 38.0597
2011 "The Three Musketeers" 20.374484 90 111 24 -69.625516
2011 "The Thing" 16.92867 38 103 35 -21.07133
